n;diameter soil level (cm);sectional area (m2);estimated height (cm);x;y;Distance from propagules source (m)
59;4,16;0,001359179;260;180,05;-8,41;180,2463054
64;5,411268065;0,002299789;350;180,05;-22,23;181,4171309
57;6,525352667;0,003344243;450;181,75;-1,55;181,7566092
43(DAP);5,456;0,002337968;400;182,2;29,77;184,6160689
45;7,002817496;0,00385155;400;181,53;34,95;184,863851
50;5,38;0,002273288;800;182,05;39,99;186,3904574
44(DAP);7,161972439;0,004028609;700;183,2;34,47;186,4146478
52;7,321127382;0,004209648;800;182,85;41,33;187,4627734
46;6,207042781;0,003025933;650;184,2;38,59;188,1989057
657;13,62;0,014569482;110;42,33;20,56;47,05892583
671;10,73912647;0,009057906;500;38,48;31,59;49,78592673
655;11,77746579;0,010894156;900;46,44;20,34;50,69900591
670;10,82253613;0,009199156;750;40,48;30,59;50,73833363
667;12,73239545;0,012732395;1000;42,13;28,79;51,0274534
814;9,230986699;0,006692465;330;51,15;10,13;52,14345021
673;14,64225476;0,016838593;850;39,88;36,19;53,85285972
677;13,84648005;0,015058047;700;40,07;39,29;56,11870455
668;10,18591636;0,008148733;800;48,33;31,29;57,5747601
676;12,09577567;0,011490987;800;46,87;38,79;60,83963346
593;12,25493062;0,011795371;1400;59,49;32,14;67,61685958
590;12,89155039;0,013052695;800;62,79;32,99;70,92900817
586;10,98169107;0,009471709;1000;65,69;31,84;72,99973767
617;11,77746579;0,010894156;1200;72,61;18,79;75,00184131
605;13,84648005;0,015058047;1000;68,11;32,58;75,50118211
614;12,09577567;0,011490987;1200;73,41;20,93;76,33539808
601;8,116902098;0,005174525;800;70,21;34,28;78,13169971
612;9,071831756;0,00646368;800;75,61;22,23;78,81018335
603;10,98169107;0,009471709;800;74,11;34,48;81,73837838
574;9,549296586;0,007161972;400;70,87;42,71;82,7447944
572;12,09577567;0,011490987;500;75,37;39,31;85,00537042
571;11,30000096;0,010028751;800;78,97;37,31;87,34012251
557;15,43802948;0,018718611;1800;90,98;25,06;94,36823618
569;9,708451529;0,007402694;600;85,07;44,41;95,96433192
424;11,77746579;0,010894156;800;99,8;6,3;99,99864999
566;10,82253613;0,009199156;900;90,47;42,81;100,0875467
558;9,867606472;0,007647395;1200;96,78;25,76;100,1496181
425;14,64225476;0,016838593;1200;99,8;9,6;100,2606603
544;9,390141642;0,006925229;850;98,82;18,29;100,4983408
559;8,75352187;0,006018046;1000;97,78;26,91;101,4153662
562;9,708451529;0,007402694;1200;94,62;36,51;101,4195469
428;11,4591559;0,01031324;1200;101,3;8,45;101,65182
412;9,549296586;0,007161972;800;100,6;14,85;101,6901298
351;9,549296586;0,007161972;700;102,67;-7,38;102,9348984
560;10,98169107;0,009471709;1200;97,78;32,81;103,1378907
543;9,867606472;0,007647395;900;102,32;17,92;103,8773739
353;8,116902098;0,005174525;700;104,77;-6,38;104,9640762
411;11,77746579;0,010894156;800;104,6;14,85;105,6488642
537;10,66338119;0,008930582;900;101,17;41,72;109,43458
356;8,594366927;0,005801198;800;111,82;-7,38;112,0632714
358;8,594366927;0,005801198;700;112,72;-5,08;112,8344132
357;12,89155039;0,013052695;1200;114,12;-5,08;114,233011
533;11,30000096;0,010028751;1300;104,72;48,44;115,3807263
523;11,4591559;0,01031324;1200;113,57;20,98;115,4915811
448;10,82253613;0,009199156;1400;115,88;3,55;115,9343646
515;11,14084602;0,00974824;1300;115,49;26,23;118,4312163
